catalog,capacity,method,run,runtime_ms,value
C2,140,Greedy,0,0.001500011421740055,545
C2,140,Greedy,1,0.001374981366097927,545
C2,140,Greedy,2,0.0012919772416353226,545
C2,140,Greedy,3,0.0012919772416353226,545
C2,140,Greedy,4,0.001249951310455799,545
C2,140,DP,0,0.0689169391989708,550
C2,140,DP,1,0.06879097782075405,550
C2,140,DP,2,0.06900005973875523,550
C2,140,DP,3,0.10395899880677462,550
C2,140,DP,4,0.07800001185387373,550
C2,140,Backtracking,0,0.018832972273230553,550
C2,140,Backtracking,1,0.07750000804662704,550
C2,140,Backtracking,2,0.008582952432334423,550
C2,140,Backtracking,3,0.0075410353019833565,550
C2,140,Backtracking,4,0.007417052984237671,550
